자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-31707,2020-04-30 23:23,113,홍대입구역 2번출구 앞,0,2020-05-01 0:00,421,마포구청 앞,0,36,0
SPB-13960,2020-04-30 23:36,1835,STX V타워,8,2020-05-01 0:00,1822,서울 시흥동우체국 앞,5,23,4860
SPB-23175,2020-04-30 23:34,2025,흑석역 1번출구,2,2020-05-01 0:00,272,당산육갑문,10,24,6700
SPB-30615,2020-04-30 23:52,457,종로꽃시장 입구 옆,0,2020-05-01 0:00,356,KT혜화지사 앞,0,8,0
SPB-30150,2020-04-30 23:23,113,홍대입구역 2번출구 앞,0,2020-05-01 0:00,421,마포구청 앞,0,37,0
SPB-31756,2020-04-30 23:51,1512,강북중학교 앞,0,2020-05-01 0:00,1519,세븐일레븐 수유장미원점 앞,0,9,0
SPB-31400,2020-04-30 21:44,2177,신대방역 2번 출구,0,2020-05-01 0:00,2170,조원동서울본병원,0,136,0
SPB-32649,2020-04-30 23:45,608,전농삼성아파트,0,2020-05-01 0:00,657,동대문롯데캐슬아파트 앞,0,14,0
SPB-33683,2020-04-30 23:47,2032,이수역 11번출구쪽,0,2020-05-01 0:00,2221,하나은행 방배동지점 앞,0,12,0
SPB-12212,2020-04-30 23:47,150,서강대역 2번출구 앞,7,2020-05-01 0:00,115,사루비아 빌딩 앞,1,12,1140
SPB-20421,2020-04-30 23:41,1108,공항시장역 2번출구 뒤,1,2020-05-01 0:00,1197,엘펠리체 호텔 건너편,5,17,2350
SPB-31625,2020-04-30 22:33,1231,잠실역 6번출구,0,2020-05-01 0:00,1231,잠실역 6번출구,0,87,0
SPB-08011,2020-04-30 23:28,2185,대학동 고시촌,3,2020-05-01 0:00,2139,서울신성초등학교,5,31,4520
SPB-11944,2020-04-30 23:50,2107,도림천 신화교,15,2020-05-01 0:00,2136,신림역 8번출구,3,9,1230
SPB-32037,2020-04-30 23:51,150,서강대역 2번출구 앞,0,2020-05-01 0:00,122,신성기사식당 앞,0,9,0
SPB-15899,2020-04-30 23:37,1009,천호역4번출구(현대백화점),2,2020-05-01 0:00,1264,천호역 10번 출구 앞,6,22,0
SPB-32654,2020-04-30 23:53,457,종로꽃시장 입구 옆,0,2020-05-01 0:00,356,KT혜화지사 앞,0,7,0
SPB-05942,2020-04-30 23:10,1160,양천향교역 7번출구앞,11,2020-05-01 0:00,1160,양천향교역 7번출구앞,2,49,9710
SPB-31384,2020-04-30 23:51,1061,천호초교 입구 사거리(일주빌딩),0,2020-05-01 0:00,1009,천호역4번출구(현대백화점),0,9,0
SPB-32215,2020-04-30 23:49,574,아차산역4번출구,0,2020-05-01 0:00,3535,중곡사거리(국민은행),0,11,0
SPB-31269,2020-04-30 23:38,2183,동방1교,0,2020-05-01 0:00,2183,동방1교,0,22,0
SPB-32468,2020-04-30 23:32,787,양천아파트 입구,0,2020-05-01 0:00,716,신정6동 주민센터 인근,0,28,0
SPB-31326,2020-04-30 23:08,207,여의나루역 1번출구 앞,0,2020-05-01 0:00,1158,가양역 8번출구,0,52,0
SPB-32778,2020-04-30 22:57,249,여의도중학교 옆,0,2020-05-01 0:00,1160,양천향교역 7번출구앞,0,63,0
SPB-19838,2020-04-30 23:13,765,오목교역 3번출구,6,2020-05-01 0:00,749,이대 목동병원 앞,2,42,6860
SPB-20652,2020-04-30 23:38,745,강서초등학교,5,2020-05-01 0:00,704,남부법원검찰청 교차로,7,21,2690
SPB-10061,2020-04-30 23:55,1933,개봉푸르지오아파트 상가,3,2020-05-01 0:00,1929,고척근린공원 고척도서관 앞,1,4,550
SPB-31959,2020-04-30 22:56,249,여의도중학교 옆,0,2020-05-01 0:00,1160,양천향교역 7번출구앞,0,63,0
SPB-20216,2020-04-30 23:26,340,혜화동 로터리,3,2020-05-01 0:00,367,독립문역 3-1번출구,8,31,5430
SPB-19361,2020-04-30 23:52,525,한양대병원사거리,17,2020-05-01 0:00,579,마장역 4번출구,7,8,800
SPB-31102,2020-04-30 23:08,207,여의나루역 1번출구 앞,0,2020-05-01 0:00,1158,가양역 8번출구,0,52,0
SPB-32296,2020-04-30 23:04,249,여의도중학교 옆,0,2020-05-01 0:00,1160,양천향교역 7번출구앞,0,55,0
SPB-20796,2020-04-30 23:38,116,일진아이윌아파트 옆,5,2020-05-01 0:00,145,공덕역 5번출구,4,21,3650
